Date,Country,Confirmed,Deaths,Recovered
2020-01-11,China,41,1,41
2020-01-12,China,41,0,0
2020-01-13,China,41,0,0
2020-01-14,China,41,0,0
2020-01-15,China,41,0,0
2020-01-16,China,41,0,0
2020-01-17,China,45,1,4
2020-01-18,China,62,0,17
2020-01-19,China,121,1,59
2020-01-20,China,198,1,77
2020-01-21,China,291,2,93
2020-01-22,China,443,3,152
2020-01-23,China,574,8,131
2020-01-24,China,835,8,261
2020-01-25,China,1297,16,462
2020-01-26,China,1985,15,688
2020-01-27,China,2761,24,776
2020-01-28,China,4533,26,1772
2020-01-29,China,5995,26,1462
2020-01-30,China,7736,38,1741
2020-01-31,China,9720,43,1984
2020-02-01,China,11821,46,2101
2020-02-02,China,14411,45,2590
2020-02-03,China,17238,57,2827
2020-02-04,China,20471,64,3233
2020-02-05,China,24363,66,3892
2020-02-06,China,28060,73,3697
2020-02-07,China,31211,73,3151
2020-02-08,China,34598,86,3387
2020-02-09,China,37251,89,2653
2020-02-10,China,40236,97,2985
2020-02-11,China,42708,108,2472
2020-02-12,China,44730,97,2022
2020-02-13,China,59882,254,15152
2020-02-14,China,63932,13,4050
2020-02-15,China,66576,143,2644
2020-02-16,China,68584,142,2008
2020-02-17,China,70635,106,2051
2020-02-18,China,72528,98,1893
2020-02-19,China,74279,136,1751
2020-02-20,China,74675,115,396
2020-02-21,China,75567,118,892
2020-02-22,China,76392,109,825
2020-02-23,China,77041,97,649
2020-02-24,China,77262,150,221
2020-02-25,China,77779,71,517
2020-02-26,China,78190,52,411
2020-02-27,China,78630,29,440
2020-02-28,China,78959,44,329
2020-02-29,China,79389,47,430
2020-03-01,China,79968,35,579
2020-03-02,China,80174,42,206
2020-03-03,China,80302,31,128
2020-03-04,China,80422,38,120
2020-03-05,China,80565,31,143
2020-03-06,China,80711,30,146
2020-03-07,China,80813,28,102
2020-03-08,China,80859,27,46
2020-03-09,China,80904,23,45
2020-03-10,China,80924,17,20
2020-03-11,China,80955,22,31
2020-03-12,China,80981,11,26
2020-03-13,China,80991,7,10
2020-03-14,China,81021,14,30
2020-03-15,China,81048,10,27
2020-03-16,China,81077,14,29
2020-03-17,China,81116,13,39
2020-03-18,China,81174,11,58
2020-03-19,China,81300,11,126
2020-03-20,China,81416,8,116
2020-03-21,China,81498,6,82
2020-03-22,China,81499,0,1
2020-03-23,China,81603,9,104
2020-03-24,China,81767,7,164
2020-03-25,China,81869,4,102
2020-03-26,China,81961,6,92
2020-03-27,China,82093,5,132
2020-03-28,China,82213,3,120
2020-03-29,China,82341,5,128
2020-03-30,China,82455,4,114
2020-03-31,China,82545,4,90
2020-04-01,China,82638,7,93
2020-04-02,China,82724,6,86
2020-04-03,China,82802,4,78
2020-04-04,China,82875,4,73
2020-04-05,China,82930,3,55
2020-04-06,China,83005,2,75
2020-04-07,China,83071,0,66
2020-04-08,China,83161,2,90
2020-04-09,China,83249,2,88
2020-04-10,China,83305,1,56
2020-04-11,China,83383,4,78
2020-04-12,China,83485,0,102
2020-04-13,China,83597,2,112
2020-04-14,China,83696,0,99
2020-04-15,China,83747,1,51
2020-04-16,China,83797,0,50
2020-04-17,China,84149,1290,352
2020-04-18,China,84180,0,31
2020-04-19,China,84223,0,43
2020-04-20,China,84239,0,16
2020-04-21,China,84253,0,14
2020-04-22,China,84288,0,35
2020-04-23,China,84303,0,15
2020-04-24,China,84312,0,9
2020-04-25,China,84324,0,12
2020-04-26,China,84338,0,14
2020-04-27,China,84341,1,3
2020-04-28,China,84347,0,6
2020-04-29,China,84369,0,22
2020-04-30,China,84373,0,4
2020-05-01,China,84385,0,12
2020-05-02,China,84391,0,6
2020-05-03,China,84393,0,2
2020-05-04,China,84401,0,8
2020-05-05,China,84404,0,3
2020-05-06,China,84406,0,2
2020-05-07,China,84409,0,3
2020-05-08,China,84415,0,6
2020-05-09,China,84416,0,1
2020-05-10,China,84430,0,14
2020-05-11,China,84450,0,20
2020-05-12,China,84451,1,1
2020-05-13,China,84458,0,7
2020-05-14,China,84464,0,6
2020-05-15,China,84469,0,5
2020-05-16,China,84478,0,9
2020-05-17,China,84484,1,6
2020-05-18,China,84494,0,10
2020-05-19,China,84500,0,6
2020-05-20,China,84505,0,5
2020-05-21,China,84507,0,2
2020-05-22,China,84520,0,13
2020-05-23,China,84522,0,2
2020-05-24,China,84525,0,3
2020-05-25,China,84536,0,11
2020-05-26,China,84543,0,7
2020-05-27,China,84544,0,1
2020-05-28,China,84547,0,3
2020-05-29,China,84547,0,0
2020-05-30,China,84565,0,18
2020-05-31,China,84570,0,5
2020-06-01,China,84588,0,18
