Date,Country,Confirmed,Deaths,Recovered
2020-01-29,Italy,2,0,2
2020-01-30,Italy,2,0,0
2020-01-31,Italy,2,0,0
2020-02-01,Italy,2,0,0
2020-02-02,Italy,2,0,0
2020-02-03,Italy,2,0,0
2020-02-04,Italy,2,0,0
2020-02-05,Italy,2,0,0
2020-02-06,Italy,2,0,0
2020-02-07,Italy,3,0,1
2020-02-08,Italy,3,0,0
2020-02-09,Italy,3,0,0
2020-02-10,Italy,3,0,0
2020-02-11,Italy,3,0,0
2020-02-12,Italy,3,0,0
2020-02-13,Italy,3,0,0
2020-02-14,Italy,3,0,0
2020-02-15,Italy,3,0,0
2020-02-16,Italy,3,0,0
2020-02-17,Italy,3,0,0
2020-02-18,Italy,3,0,0
2020-02-19,Italy,3,0,0
2020-02-20,Italy,3,0,0
2020-02-21,Italy,4,0,1
2020-02-22,Italy,11,2,7
2020-02-23,Italy,124,0,113
2020-02-24,Italy,229,5,105
2020-02-25,Italy,322,5,93
2020-02-26,Italy,400,0,78
2020-02-27,Italy,650,5,250
2020-02-28,Italy,888,4,238
2020-02-29,Italy,1128,8,240
2020-03-01,Italy,1689,6,561
2020-03-02,Italy,2036,17,347
2020-03-03,Italy,2502,28,466
2020-03-04,Italy,3089,27,587
2020-03-05,Italy,3858,41,769
2020-03-06,Italy,4636,49,778
2020-03-07,Italy,5883,37,1247
2020-03-08,Italy,7375,132,1492
2020-03-09,Italy,9172,97,1797
2020-03-10,Italy,10149,168,977
2020-03-11,Italy,12462,196,2313
2020-03-12,Italy,15113,189,2651
2020-03-13,Italy,17660,252,2547
2020-03-14,Italy,21157,173,3497
2020-03-15,Italy,24747,368,3590
2020-03-16,Italy,27980,349,3233
2020-03-17,Italy,31506,347,3526
2020-03-18,Italy,35713,473,4207
2020-03-19,Italy,41035,429,5322
2020-03-20,Italy,47021,625,5986
2020-03-21,Italy,53578,795,6557
2020-03-22,Italy,53578,0,0
2020-03-23,Italy,59138,649,5560
2020-03-24,Italy,63927,601,4789
2020-03-25,Italy,69176,743,5249
2020-03-26,Italy,74386,685,5210
2020-03-27,Italy,80539,660,6153
2020-03-28,Italy,86498,971,5959
2020-03-29,Italy,92472,887,5974
2020-03-30,Italy,97689,758,5217
2020-03-31,Italy,101739,810,4050
2020-04-01,Italy,105792,839,4053
2020-04-02,Italy,110574,727,4782
2020-04-03,Italy,115242,760,4668
2020-04-04,Italy,119827,764,4585
2020-04-05,Italy,124632,681,4805
2020-04-06,Italy,128948,527,4316
2020-04-07,Italy,132547,636,3599
2020-04-08,Italy,135586,604,3039
2020-04-09,Italy,139422,540,3836
2020-04-10,Italy,143626,612,4204
2020-04-11,Italy,147577,570,3951
2020-04-12,Italy,152271,619,4694
2020-04-13,Italy,156363,431,4092
2020-04-14,Italy,159516,564,3153
2020-04-15,Italy,162488,604,2972
2020-04-16,Italy,165155,578,2667
2020-04-17,Italy,168941,525,3786
2020-04-18,Italy,172434,575,3493
2020-04-19,Italy,175925,480,3491
2020-04-20,Italy,178972,433,3047
2020-04-21,Italy,181228,454,2256
2020-04-22,Italy,183957,534,2729
2020-04-23,Italy,187327,437,3370
2020-04-24,Italy,189973,464,2646
2020-04-25,Italy,192994,420,3021
2020-04-26,Italy,195351,415,2357
2020-04-27,Italy,197675,260,2324
2020-04-28,Italy,199414,333,1739
2020-04-29,Italy,201505,382,2091
2020-04-30,Italy,203591,323,2086
2020-05-01,Italy,205463,285,1872
2020-05-02,Italy,207428,269,1965
2020-05-03,Italy,209328,474,1900
2020-05-04,Italy,210717,174,1389
2020-05-05,Italy,211938,195,1221
2020-05-06,Italy,213013,236,1075
2020-05-07,Italy,214457,369,1444
2020-05-08,Italy,215858,274,1401
2020-05-09,Italy,217185,243,1327
2020-05-10,Italy,218268,194,1083
2020-05-11,Italy,219070,165,802
2020-05-12,Italy,219814,179,744
2020-05-13,Italy,221216,172,1402
2020-05-14,Italy,222104,195,888
2020-05-15,Italy,223096,262,992
2020-05-16,Italy,223885,242,789
2020-05-17,Italy,224760,153,875
2020-05-18,Italy,225435,145,675
2020-05-19,Italy,225886,99,451
2020-05-20,Italy,226699,162,813
2020-05-21,Italy,227364,161,665
2020-05-22,Italy,228006,156,642
2020-05-23,Italy,228658,130,652
2020-05-24,Italy,229327,119,669
2020-05-25,Italy,229858,50,531
2020-05-26,Italy,230158,92,300
2020-05-27,Italy,230555,78,397
2020-05-28,Italy,231139,117,584
2020-05-29,Italy,231732,70,593
2020-05-30,Italy,232248,87,516
2020-05-31,Italy,232664,111,416
2020-06-01,Italy,232664,0,0
