Date,Country,Confirmed,Deaths,Recovered
2020-01-20,United States of America,1,0,1
2020-01-21,United States of America,1,0,0
2020-01-22,United States of America,1,0,0
2020-01-23,United States of America,1,0,0
2020-01-24,United States of America,2,0,1
2020-01-25,United States of America,2,0,0
2020-01-26,United States of America,5,0,3
2020-01-27,United States of America,5,0,0
2020-01-28,United States of America,5,0,0
2020-01-29,United States of America,5,0,0
2020-01-30,United States of America,6,0,1
2020-01-31,United States of America,7,0,1
2020-02-01,United States of America,8,0,1
2020-02-02,United States of America,8,0,0
2020-02-03,United States of America,11,0,3
2020-02-04,United States of America,11,0,0
2020-02-05,United States of America,11,0,0
2020-02-06,United States of America,12,0,1
2020-02-07,United States of America,12,0,0
2020-02-08,United States of America,12,0,0
2020-02-09,United States of America,12,0,0
2020-02-10,United States of America,12,0,0
2020-02-11,United States of America,13,0,1
2020-02-12,United States of America,13,0,0
2020-02-13,United States of America,15,0,2
2020-02-14,United States of America,15,0,0
2020-02-15,United States of America,15,0,0
2020-02-16,United States of America,15,0,0
2020-02-17,United States of America,15,0,0
2020-02-18,United States of America,15,0,0
2020-02-19,United States of America,15,0,0
2020-02-20,United States of America,15,0,0
2020-02-21,United States of America,34,0,19
2020-02-22,United States of America,35,0,1
2020-02-23,United States of America,35,0,0
2020-02-24,United States of America,53,0,18
2020-02-25,United States of America,53,0,0
2020-02-26,United States of America,59,0,6
2020-02-27,United States of America,59,0,0
2020-02-28,United States of America,62,0,3
2020-02-29,United States of America,62,0,0
2020-03-01,United States of America,62,0,0
2020-03-02,United States of America,64,0,2
2020-03-03,United States of America,108,2,44
2020-03-04,United States of America,129,3,21
2020-03-05,United States of America,148,5,19
2020-03-06,United States of America,213,1,65
2020-03-07,United States of America,213,0,0
2020-03-08,United States of America,213,0,0
2020-03-09,United States of America,472,8,259
2020-03-10,United States of America,696,6,224
2020-03-11,United States of America,696,0,0
2020-03-12,United States of America,987,4,291
2020-03-13,United States of America,1264,7,277
2020-03-14,United States of America,1678,5,414
2020-03-15,United States of America,1714,0,36
2020-03-16,United States of America,1714,0,0
2020-03-17,United States of America,3536,17,1822
2020-03-18,United States of America,7087,42,3551
2020-03-19,United States of America,10442,50,3355
2020-03-20,United States of America,15219,51,4777
2020-03-21,United States of America,15219,0,0
2020-03-22,United States of America,15219,0,0
2020-03-23,United States of America,31573,201,16354
2020-03-24,United States of America,51914,271,20341
2020-03-25,United States of America,51914,0,0
2020-03-26,United States of America,68334,318,16420
2020-03-27,United States of America,68334,0,0
2020-03-28,United States of America,85228,252,16894
2020-03-29,United States of America,103321,425,18093
2020-03-30,United States of America,122653,444,19332
2020-03-31,United States of America,140640,286,17987
2020-04-01,United States of America,163199,452,22559
2020-04-02,United States of America,187302,996,24103
2020-04-03,United States of America,213600,947,26298
2020-04-04,United States of America,241703,1061,28103
2020-04-05,United States of America,273808,1166,32105
2020-04-06,United States of America,307318,1338,33510
2020-04-07,United States of America,333811,1201,26493
2020-04-08,United States of America,363321,1286,29510
2020-04-09,United States of America,395030,1895,31709
2020-04-10,United States of America,425889,1925,30859
2020-04-11,United States of America,461275,1931,35386
2020-04-12,United States of America,492881,1920,31606
2020-04-13,United States of America,524514,1928,31633
2020-04-14,United States of America,553822,1528,29308
2020-04-15,United States of America,578268,1504,24446
2020-04-16,United States of America,604070,2395,25802
2020-04-17,United States of America,632781,2350,28711
2020-04-18,United States of America,665330,2163,32549
2020-04-19,United States of America,695353,2043,30023
2020-04-20,United States of America,723605,1776,28252
2020-04-21,United States of America,751273,1681,27668
2020-04-22,United States of America,776907,1718,25634
2020-04-23,United States of America,800926,2471,24019
2020-04-24,United States of America,830053,2238,29127
2020-04-25,United States of America,860772,1742,30719
2020-04-26,United States of America,899281,2151,38509
2020-04-27,United States of America,931698,1776,32417
2020-04-28,United States of America,960916,1190,29218
2020-04-29,United States of America,983457,1322,22541
2020-04-30,United States of America,1003974,1936,20517
2020-05-01,United States of America,1035353,2909,31379
2020-05-02,United States of America,1067127,2069,31774
2020-05-03,United States of America,1093880,5000,26753
2020-05-04,United States of America,1125719,1696,31839
2020-05-05,United States of America,1154985,1196,29266
2020-05-06,United States of America,1171185,792,16200
2020-05-07,United States of America,1193452,2499,22267
2020-05-08,United States of America,1215571,1949,22119
2020-05-09,United States of America,1245874,2743,30303
2020-05-10,United States of America,1245775,5475,-99
2020-05-11,United States of America,1271645,1552,25870
2020-05-12,United States of America,1298287,1736,26642
2020-05-13,United States of America,1322054,982,23767
2020-05-14,United States of America,1340098,1061,18044
2020-05-15,United States of America,1361522,1424,21424
2020-05-16,United States of America,1382362,1700,20840
2020-05-17,United States of America,1409452,2041,27090
2020-05-18,United States of America,1432265,1320,22813
2020-05-19,United States of America,1464232,1394,31967
2020-05-20,United States of America,1477459,697,13227
2020-05-21,United States of America,1501876,932,24417
2020-05-22,United States of America,1525186,1324,23310
2020-05-23,United States of America,1547973,1396,22787
2020-05-24,United States of America,1568448,1088,20475
2020-05-25,United States of America,1592599,1852,24151
2020-05-26,United States of America,1618757,1046,26158
2020-05-27,United States of America,1634010,620,15253
2020-05-28,United States of America,1658896,590,24886
2020-05-29,United States of America,1675258,770,16362
2020-05-30,United States of America,1694864,1415,19606
2020-05-31,United States of America,1716078,1263,21214
2020-06-01,United States of America,1734040,1073,17962
